Image dimensions: 28 x 28
Loaded 10000 images
Model created with 2 layers
Layer 0: 784 inputs, 8 neurons
Image 52: Predicted digit = 0, Confidence = 0.9133
Image 53: Predicted digit = 0, Confidence = 0.8853
Image 54: Predicted digit = 0, Confidence = 1.0000
Image 55: Predicted digit = 0, Confidence = 0.9999
Image 56: Predicted digit = 0, Confidence = 0.8148
Image 57: Predicted digit = 0, Confidence = 0.9976
Image 58: Predicted digit = 0, Confidence = 0.4176
Image 59: Predicted digit = 0, Confidence = 0.9986
Image 60: Predicted digit = 0, Confidence = 0.9996
Image 61: Predicted digit = 0, Confidence = 0.9999
Image 62: Predicted digit = 0, Confidence = 0.9993
Image 63: Predicted digit = 0, Confidence = 0.9999
Image 64: Predicted digit = 0, Confidence = 0.9981
Image 65: Predicted digit = 0, Confidence = 0.7858
Image 66: Predicted digit = 0, Confidence = 0.9988
Image 67: Predicted digit = 0, Confidence = 0.9597
Image 68: Predicted digit = 0, Confidence = 1.0000
Image 69: Predicted digit = 0, Confidence = 0.8545
Image 70: Predicted digit = 0, Confidence = 0.8816
Image 71: Predicted digit = 0, Confidence = 0.9999
Image 72: Predicted digit = 0, Confidence = 0.3282
Image 73: Predicted digit = 0, Confidence = 1.0000
Image 74: Predicted digit = 0, Confidence = 1.0000
Image 75: Predicted digit = 0, Confidence = 0.9993
Image 76: Predicted digit = 0, Confidence = 1.0000
Image 77: Predicted digit = 0, Confidence = 1.0000
Image 78: Predicted digit = 0, Confidence = 1.0000
Image 79: Predicted digit = 0, Confidence = 1.0000
Image 80: Predicted digit = 0, Confidence = 1.0000
Image 81: Predicted digit = 0, Confidence = 1.0000
Image 82: Predicted digit = 0, Confidence = 0.9996
Image 83: Predicted digit = 0, Confidence = 0.9999
Image 84: Predicted digit = 0, Confidence = 0.9787
Image 85: Predicted digit = 0, Confidence = 0.7618
Image 86: Predicted digit = 0, Confidence = 1.0000
Image 87: Predicted digit = 0, Confidence = 0.9954
Image 88: Predicted digit = 0, Confidence = 1.0000
Image 89: Predicted digit = 0, Confidence = 0.9991
Image 90: Predicted digit = 0, Confidence = 1.0000
Image 91: Predicted digit = 0, Confidence = 0.9844
Image 92: Predicted digit = 0, Confidence = 0.9992
Image 93: Predicted digit = 0, Confidence = 1.0000
Image 94: Predicted digit = 0, Confidence = 1.0000
Image 95: Predicted digit = 0, Confidence = 0.9995
Image 96: Predicted digit = 0, Confidence = 1.0000
Image 97: Predicted digit = 0, Confidence = 0.9984
Image 98: Predicted digit = 0, Confidence = 1.0000
Image 99: Predicted digit = 0, Confidence = 0.9988
Image 100: Predicted digit = 0, Confidence = 0.9991
Image 101: Predicted digit = 0, Confidence = 0.9980
Image 102: Predicted digit = 0, Confidence = 0.7273
Image 103: Predicted digit = 0, Confidence = 0.5776
Image 104: Predicted digit = 0, Confidence = 0.9159
Image 105: Predicted digit = 0, Confidence = 0.9817
Image 106: Predicted digit = 0, Confidence = 0.7572
Image 107: Predicted digit = 0, Confidence = 0.9761
Image 108: Predicted digit = 0, Confidence = 0.9999
Image 109: Predicted digit = 0, Confidence = 1.0000
Image 110: Predicted digit = 0, Confidence = 0.4238
Image 111: Predicted digit = 0, Confidence = 1.0000
Image 112: Predicted digit = 0, Confidence = 0.9989
Image 113: Predicted digit = 0, Confidence = 1.0000
Image 114: Predicted digit = 0, Confidence = 0.9784
Image 115: Predicted digit = 0, Confidence = 0.9998
Image 116: Predicted digit = 0, Confidence = 0.9992
Image 117: Predicted digit = 0, Confidence = 0.8663
Image 118: Predicted digit = 0, Confidence = 0.9977
Image 119: Predicted digit = 0, Confidence = 0.9947
Image 120: Predicted digit = 0, Confidence = 0.9933
Image 121: Predicted digit = 0, Confidence = 0.9994
Image 122: Predicted digit = 0, Confidence = 0.9828
Image 123: Predicted digit = 0, Confidence = 1.0000
Image 124: Predicted digit = 0, Confidence = 1.0000
Image 125: Predicted digit = 0, Confidence = 0.9984
Image 126: Predicted digit = 0, Confidence = 0.9829
Image 127: Predicted digit = 0, Confidence = 0.9954
Image 128: Predicted digit = 0, Confidence = 0.9999
Image 129: Predicted digit = 0, Confidence = 0.7207
Image 130: Predicted digit = 0, Confidence = 0.9994
Image 131: Predicted digit = 0, Confidence = 0.9977
Image 132: Predicted digit = 0, Confidence = 0.9852
Image 133: Predicted digit = 0, Confidence = 0.8858
Image 134: Predicted digit = 0, Confidence = 1.0000
Image 135: Predicted digit = 0, Confidence = 1.0000
Image 136: Predicted digit = 0, Confidence = 0.9996
Image 137: Predicted digit = 0, Confidence = 1.0000
Image 138: Predicted digit = 0, Confidence = 0.9953
Image 139: Predicted digit = 0, Confidence = 0.9968
Image 140: Predicted digit = 0, Confidence = 0.9989
Image 141: Predicted digit = 0, Confidence = 0.9992
Image 142: Predicted digit = 0, Confidence = 0.9930
Image 143: Predicted digit = 0, Confidence = 0.9991
Image 144: Predicted digit = 0, Confidence = 1.0000
Image 145: Predicted digit = 0, Confidence = 1.0000
Image 146: Predicted digit = 0, Confidence = 1.0000
Image 147: Predicted digit = 0, Confidence = 0.9999
Image 148: Predicted digit = 0, Confidence = 0.9992
Image 149: Predicted digit = 0, Confidence = 0.8194
Image 150: Predicted digit = 0, Confidence = 0.9536
Image 151: Predicted digit = 0, Confidence = 0.9788
Image 152: Predicted digit = 0, Confidence = 0.8304
Image 153: Predicted digit = 0, Confidence = 0.8177
Image 154: Predicted digit = 0, Confidence = 1.0000
Image 155: Predicted digit = 0, Confidence = 0.3198
Image 156: Predicted digit = 0, Confidence = 0.9999
Image 157: Predicted digit = 0, Confidence = 0.9998
Image 158: Predicted digit = 0, Confidence = 1.0000
Image 159: Predicted digit = 0, Confidence = 1.0000
Image 160: Predicted digit = 0, Confidence = 1.0000
Image 161: Predicted digit = 0, Confidence = 0.9753
Image 162: Predicted digit = 0, Confidence = 0.9308
Image 163: Predicted digit = 0, Confidence = 0.9795
Image 164: Predicted digit = 0, Confidence = 0.9962
Image 165: Predicted digit = 0, Confidence = 0.9991
Image 166: Predicted digit = 0, Confidence = 0.8770
Image 167: Predicted digit = 0, Confidence = 0.9999
Image 168: Predicted digit = 0, Confidence = 1.0000
Image 169: Predicted digit = 0, Confidence = 0.9987
Image 170: Predicted digit = 0, Confidence = 0.9982
Image 171: Predicted digit = 0, Confidence = 1.0000
Image 172: Predicted digit = 0, Confidence = 0.7844
Image 173: Predicted digit = 0, Confidence = 1.0000
Image 174: Predicted digit = 0, Confidence = 0.9999
Image 175: Predicted digit = 0, Confidence = 0.8165
Image 176: Predicted digit = 0, Confidence = 0.9968
Image 177: Predicted digit = 0, Confidence = 1.0000
Image 178: Predicted digit = 0, Confidence = 0.9999
Image 179: Predicted digit = 0, Confidence = 0.9986
Image 180: Predicted digit = 0, Confidence = 1.0000
Image 181: Predicted digit = 0, Confidence = 0.9626
Image 182: Predicted digit = 0, Confidence = 0.9999
Image 183: Predicted digit = 0, Confidence = 0.9988
Image 184: Predicted digit = 0, Confidence = 0.1340
Image 185: Predicted digit = 0, Confidence = 0.9118
Image 186: Predicted digit = 0, Confidence = 0.9956
Image 187: Predicted digit = 0, Confidence = 0.9216
Image 188: Predicted digit = 0, Confidence = 1.0000
Image 189: Predicted digit = 0, Confidence = 1.0000
Image 190: Predicted digit = 0, Confidence = 1.0000
Image 191: Predicted digit = 0, Confidence = 1.0000
Image 192: Predicted digit = 0, Confidence = 0.9846
Image 193: Predicted digit = 0, Confidence = 0.9810
Image 194: Predicted digit = 0, Confidence = 0.9999
Image 195: Predicted digit = 0, Confidence = 0.1404
Image 196: Predicted digit = 0, Confidence = 1.0000
Image 197: Predicted digit = 0, Confidence = 0.9759
Image 198: Predicted digit = 0, Confidence = 0.9999
Image 199: Predicted digit = 0, Confidence = 1.0000
Image 200: Predicted digit = 0, Confidence = 1.0000
Image 201: Predicted digit = 0, Confidence = 1.0000
Image 202: Predicted digit = 0, Confidence = 0.9975
Image 203: Predicted digit = 0, Confidence = 0.9998
Image 204: Predicted digit = 0, Confidence = 0.9839
Image 205: Predicted digit = 0, Confidence = 0.9794
Image 206: Predicted digit = 0, Confidence = 0.9991
Image 207: Predicted digit = 0, Confidence = 1.0000
Image 208: Predicted digit = 0, Confidence = 1.0000
Image 209: Predicted digit = 0, Confidence = 1.0000
Image 210: Predicted digit = 7, Confidence = 0.1026
Image 211: Predicted digit = 0, Confidence = 0.9917
Image 212: Predicted digit = 0, Confidence = 0.9997
Image 213: Predicted digit = 0, Confidence = 0.9266
Image 214: Predicted digit = 0, Confidence = 1.0000
Image 215: Predicted digit = 0, Confidence = 0.9760
Image 216: Predicted digit = 0, Confidence = 0.2236
Image 217: Predicted digit = 0, Confidence = 0.9994
Image 218: Predicted digit = 0, Confidence = 1.0000
Image 219: Predicted digit = 0, Confidence = 0.9397
Image 220: Predicted digit = 0, Confidence = 0.9998
Image 221: Predicted digit = 0, Confidence = 0.9922
Image 222: Predicted digit = 0, Confidence = 0.9998
Image 223: Predicted digit = 0, Confidence = 0.9999
Image 224: Predicted digit = 0, Confidence = 0.9627
Image 225: Predicted digit = 0, Confidence = 0.9901
Image 226: Predicted digit = 0, Confidence = 0.9999
Image 227: Predicted digit = 0, Confidence = 0.9998
Image 228: Predicted digit = 0, Confidence = 0.9996
Image 229: Predicted digit = 0, Confidence = 0.8824
Image 230: Predicted digit = 0, Confidence = 0.8896
Image 231: Predicted digit = 0, Confidence = 0.9997
Image 232: Predicted digit = 0, Confidence = 0.9986
Image 233: Predicted digit = 0, Confidence = 1.0000
Image 234: Predicted digit = 0, Confidence = 0.9949
Image 235: Predicted digit = 0, Confidence = 1.0000
Image 236: Predicted digit = 0, Confidence = 0.9992
Image 237: Predicted digit = 0, Confidence = 1.0000
Image 238: Predicted digit = 0, Confidence = 0.9529
Image 239: Predicted digit = 0, Confidence = 1.0000
Image 240: Predicted digit = 0, Confidence = 0.9838
Image 241: Predicted digit = 0, Confidence = 0.9985
Image 242: Predicted digit = 0, Confidence = 1.0000
Image 243: Predicted digit = 0, Confidence = 0.9997
Image 244: Predicted digit = 0, Confidence = 0.9998
Image 245: Predicted digit = 0, Confidence = 1.0000
Image 246: Predicted digit = 0, Confidence = 0.9996
Image 247: Predicted digit = 0, Confidence = 1.0000
Image 248: Predicted digit = 0, Confidence = 0.9987
Image 249: Predicted digit = 0, Confidence = 0.9996
Image 250: Predicted digit = 0, Confidence = 1.0000
Image 251: Predicted digit = 0, Confidence = 0.9212
Image 252: Predicted digit = 0, Confidence = 1.0000
Image 253: Predicted digit = 0, Confidence = 0.9837
Image 254: Predicted digit = 0, Confidence = 0.9858
Image 255: Predicted digit = 0, Confidence = 0.9921
Image 256: Predicted digit = 0, Confidence = 0.8733
Image 257: Predicted digit = 0, Confidence = 1.0000
Image 258: Predicted digit = 0, Confidence = 0.9998
Image 259: Predicted digit = 0, Confidence = 1.0000
Image 260: Predicted digit = 0, Confidence = 0.3872
Image 261: Predicted digit = 0, Confidence = 0.9999
Image 262: Predicted digit = 0, Confidence = 0.9999
Image 263: Predicted digit = 0, Confidence = 0.6589
Image 264: Predicted digit = 0, Confidence = 1.0000
Image 265: Predicted digit = 0, Confidence = 1.0000
Image 266: Predicted digit = 0, Confidence = 1.0000
Image 267: Predicted digit = 0, Confidence = 1.0000
Image 268: Predicted digit = 0, Confidence = 0.4799
Image 269: Predicted digit = 0, Confidence = 0.9999
Image 270: Predicted digit = 0, Confidence = 1.0000
Image 271: Predicted digit = 0, Confidence = 1.0000
Image 272: Predicted digit = 0, Confidence = 1.0000
Image 273: Predicted digit = 0, Confidence = 0.9998
Image 274: Predicted digit = 0, Confidence = 0.9998
Image 275: Predicted digit = 0, Confidence = 0.9997
Image 276: Predicted digit = 0, Confidence = 0.9999
Image 277: Predicted digit = 0, Confidence = 0.9999
Image 278: Predicted digit = 0, Confidence = 0.9905
Image 279: Predicted digit = 0, Confidence = 1.0000
Image 280: Predicted digit = 0, Confidence = 0.9846
Image 281: Predicted digit = 0, Confidence = 0.8890
Image 282: Predicted digit = 0, Confidence = 0.9999
Image 283: Predicted digit = 0, Confidence = 0.8483
Image 284: Predicted digit = 0, Confidence = 1.0000
Image 285: Predicted digit = 0, Confidence = 1.0000
Image 286: Predicted digit = 0, Confidence = 0.9900
Image 287: Predicted digit = 0, Confidence = 0.4785
Image 288: Predicted digit = 0, Confidence = 0.9997
Image 289: Predicted digit = 0, Confidence = 0.9997
Image 290: Predicted digit = 0, Confidence = 0.9091
Image 291: Predicted digit = 0, Confidence = 0.9983
Image 292: Predicted digit = 0, Confidence = 1.0000
Image 293: Predicted digit = 0, Confidence = 0.9998
Image 294: Predicted digit = 0, Confidence = 1.0000
Image 295: Predicted digit = 0, Confidence = 0.6671
Image 296: Predicted digit = 0, Confidence = 1.0000
Image 297: Predicted digit = 0, Confidence = 0.8886
Image 298: Predicted digit = 0, Confidence = 0.9852
Image 299: Predicted digit = 0, Confidence = 0.9710
Image 300: Predicted digit = 0, Confidence = 1.0000
Image 301: Predicted digit = 0, Confidence = 0.9999
Image 302: Predicted digit = 0, Confidence = 1.0000
Image 303: Predicted digit = 0, Confidence = 0.7216
Image 304: Predicted digit = 0, Confidence = 0.9983
Image 305: Predicted digit = 0, Confidence = 0.7910
Image 306: Predicted digit = 0, Confidence = 0.9978
Image 307: Predicted digit = 0, Confidence = 0.9682
Image 308: Predicted digit = 0, Confidence = 0.9875
Image 309: Predicted digit = 0, Confidence = 0.9995
Image 310: Predicted digit = 0, Confidence = 0.9068
Image 311: Predicted digit = 0, Confidence = 0.9999
Image 312: Predicted digit = 0, Confidence = 0.9950
Image 313: Predicted digit = 0, Confidence = 0.5464
Image 314: Predicted digit = 0, Confidence = 1.0000
Image 315: Predicted digit = 0, Confidence = 0.9792
Image 316: Predicted digit = 0, Confidence = 0.9994
Image 317: Predicted digit = 0, Confidence = 1.0000
Image 318: Predicted digit = 0, Confidence = 0.9999
Image 319: Predicted digit = 0, Confidence = 0.9738
Image 320: Predicted digit = 0, Confidence = 0.9999
Image 321: Predicted digit = 0, Confidence = 0.9999
Image 322: Predicted digit = 0, Confidence = 1.0000
Image 323: Predicted digit = 0, Confidence = 1.0000
Image 324: Predicted digit = 0, Confidence = 1.0000
Image 325: Predicted digit = 0, Confidence = 0.9992
Image 326: Predicted digit = 0, Confidence = 1.0000
Image 327: Predicted digit = 0, Confidence = 0.9978
Image 328: Predicted digit = 0, Confidence = 0.9994
Image 329: Predicted digit = 0, Confidence = 1.0000
Image 330: Predicted digit = 0, Confidence = 1.0000
Image 331: Predicted digit = 0, Confidence = 1.0000
Image 332: Predicted digit = 0, Confidence = 1.0000
Image 333: Predicted digit = 0, Confidence = 0.9981
Image 334: Predicted digit = 0, Confidence = 0.9965
Image 335: Predicted digit = 0, Confidence = 0.4497
Image 336: Predicted digit = 0, Confidence = 1.0000
Image 337: Predicted digit = 0, Confidence = 0.8988
Image 338: Predicted digit = 0, Confidence = 0.9992
Image 339: Predicted digit = 0, Confidence = 0.9999
Image 340: Predicted digit = 0, Confidence = 0.9972
Image 341: Predicted digit = 0, Confidence = 0.9233
Image 342: Predicted digit = 0, Confidence = 1.0000
Image 343: Predicted digit = 0, Confidence = 1.0000
Image 344: Predicted digit = 0, Confidence = 1.0000
Image 345: Predicted digit = 0, Confidence = 0.9997
Image 346: Predicted digit = 0, Confidence = 0.9936
Image 347: Predicted digit = 0, Confidence = 1.0000
Image 348: Predicted digit = 0, Confidence = 0.9991
Image 349: Predicted digit = 0, Confidence = 0.9988
Image 350: Predicted digit = 0, Confidence = 1.0000
Image 351: Predicted digit = 0, Confidence = 0.9840
Image 352: Predicted digit = 0, Confidence = 1.0000
Image 353: Predicted digit = 0, Confidence = 1.0000
Image 354: Predicted digit = 0, Confidence = 0.7609
Image 355: Predicted digit = 0, Confidence = 0.9791
Image 356: Predicted digit = 0, Confidence = 0.9960
Image 357: Predicted digit = 0, Confidence = 0.9996
Image 358: Predicted digit = 0, Confidence = 1.0000
Image 359: Predicted digit = 0, Confidence = 1.0000
Image 360: Predicted digit = 0, Confidence = 0.5749
Image 361: Predicted digit = 0, Confidence = 0.7620
Image 362: Predicted digit = 0, Confidence = 0.4387
Image 363: Predicted digit = 0, Confidence = 0.9999
Image 364: Predicted digit = 0, Confidence = 0.9340
Image 365: Predicted digit = 0, Confidence = 0.8838
Image 366: Predicted digit = 0, Confidence = 0.9998
Image 367: Predicted digit = 0, Confidence = 0.1950
Image 368: Predicted digit = 0, Confidence = 0.9305
Image 369: Predicted digit = 0, Confidence = 0.7379
Image 370: Predicted digit = 0, Confidence = 0.9996
Image 371: Predicted digit = 0, Confidence = 0.8735
Image 372: Predicted digit = 0, Confidence = 0.9497
Image 373: Predicted digit = 0, Confidence = 1.0000
Image 374: Predicted digit = 0, Confidence = 1.0000
Image 375: Predicted digit = 0, Confidence = 0.9817
Image 376: Predicted digit = 0, Confidence = 0.9599
Image 377: Predicted digit = 0, Confidence = 0.9993
Image 378: Predicted digit = 0, Confidence = 1.0000
Image 379: Predicted digit = 0, Confidence = 0.8765
Image 380: Predicted digit = 0, Confidence = 0.9907
Image 381: Predicted digit = 0, Confidence = 0.3867
Image 382: Predicted digit = 0, Confidence = 1.0000
Image 383: Predicted digit = 0, Confidence = 0.8759
Image 384: Predicted digit = 0, Confidence = 1.0000
Image 385: Predicted digit = 0, Confidence = 0.9975
Image 386: Predicted digit = 0, Confidence = 0.9892
Image 387: Predicted digit = 0, Confidence = 0.4074
Image 388: Predicted digit = 0, Confidence = 0.9757
Image 389: Predicted digit = 0, Confidence = 1.0000
Image 390: Predicted digit = 0, Confidence = 0.9997
Image 391: Predicted digit = 0, Confidence = 1.0000
Image 392: Predicted digit = 0, Confidence = 0.7355
Image 393: Predicted digit = 0, Confidence = 1.0000
Image 394: Predicted digit = 0, Confidence = 0.4284
Image 395: Predicted digit = 0, Confidence = 0.9768
Image 396: Predicted digit = 0, Confidence = 1.0000
Image 397: Predicted digit = 0, Confidence = 0.9997
Image 398: Predicted digit = 0, Confidence = 0.1836
Image 399: Predicted digit = 0, Confidence = 0.9888
Image 400: Predicted digit = 0, Confidence = 0.8352
Image 401: Predicted digit = 0, Confidence = 0.8994
Image 402: Predicted digit = 0, Confidence = 0.9984
Image 403: Predicted digit = 0, Confidence = 0.9945
Image 404: Predicted digit = 0, Confidence = 0.9389
Image 405: Predicted digit = 0, Confidence = 0.9738
Image 406: Predicted digit = 0, Confidence = 1.0000
Image 407: Predicted digit = 0, Confidence = 1.0000
Image 408: Predicted digit = 0, Confidence = 0.9769
Image 409: Predicted digit = 0, Confidence = 1.0000
Image 410: Predicted digit = 0, Confidence = 0.9991
Image 411: Predicted digit = 0, Confidence = 0.9990
Image 412: Predicted digit = 0, Confidence = 0.9999
Image 413: Predicted digit = 0, Confidence = 1.0000
Image 414: Predicted digit = 0, Confidence = 1.0000
Image 415: Predicted digit = 0, Confidence = 1.0000
Image 416: Predicted digit = 0, Confidence = 0.9994
Image 417: Predicted digit = 0, Confidence = 1.0000
Image 418: Predicted digit = 0, Confidence = 0.9997
Image 419: Predicted digit = 0, Confidence = 1.0000
Image 420: Predicted digit = 0, Confidence = 0.6803
Image 421: Predicted digit = 0, Confidence = 0.9039
Image 422: Predicted digit = 0, Confidence = 0.9998
Image 423: Predicted digit = 0, Confidence = 0.9999
Image 424: Predicted digit = 0, Confidence = 1.0000
Image 425: Predicted digit = 0, Confidence = 0.9928
Image 426: Predicted digit = 0, Confidence = 1.0000
Image 427: Predicted digit = 0, Confidence = 0.9999
Image 428: Predicted digit = 0, Confidence = 0.9690
Image 429: Predicted digit = 0, Confidence = 0.8765
Image 430: Predicted digit = 0, Confidence = 0.9964
Image 431: Predicted digit = 0, Confidence = 0.6192
Image 432: Predicted digit = 0, Confidence = 1.0000
Image 433: Predicted digit = 0, Confidence = 1.0000
Image 434: Predicted digit = 0, Confidence = 0.9806
Image 435: Predicted digit = 0, Confidence = 1.0000
Image 436: Predicted digit = 0, Confidence = 1.0000
Image 437: Predicted digit = 0, Confidence = 1.0000
Image 438: Predicted digit = 0, Confidence = 0.9691
Image 439: Predicted digit = 0, Confidence = 0.8257
Image 440: Predicted digit = 0, Confidence = 1.0000
Image 441: Predicted digit = 0, Confidence = 0.9975
Image 442: Predicted digit = 0, Confidence = 1.0000
Image 443: Predicted digit = 0, Confidence = 0.9905
Image 444: Predicted digit = 0, Confidence = 0.9997
Image 445: Predicted digit = 0, Confidence = 1.0000
Image 446: Predicted digit = 0, Confidence = 0.6412
Image 447: Predicted digit = 0, Confidence = 1.0000
Image 448: Predicted digit = 0, Confidence = 0.9993
Image 449: Predicted digit = 0, Confidence = 0.8538
Image 450: Predicted digit = 0, Confidence = 1.0000
Image 451: Predicted digit = 0, Confidence = 0.9881
Image 452: Predicted digit = 0, Confidence = 0.8939
Image 453: Predicted digit = 0, Confidence = 0.7692
Image 454: Predicted digit = 0, Confidence = 0.9997
Image 455: Predicted digit = 0, Confidence = 0.9996
Image 456: Predicted digit = 0, Confidence = 0.9982
Image 457: Predicted digit = 0, Confidence = 0.9956
Image 458: Predicted digit = 0, Confidence = 1.0000
Image 459: Predicted digit = 0, Confidence = 0.9999
Image 460: Predicted digit = 0, Confidence = 1.0000
Image 461: Predicted digit = 0, Confidence = 1.0000
Image 462: Predicted digit = 0, Confidence = 0.9988
Image 463: Predicted digit = 0, Confidence = 1.0000
Image 464: Predicted digit = 0, Confidence = 0.9921
Image 465: Predicted digit = 0, Confidence = 0.9992
Image 466: Predicted digit = 0, Confidence = 0.8593
Image 467: Predicted digit = 0, Confidence = 0.9988
Image 468: Predicted digit = 0, Confidence = 0.9992
Image 469: Predicted digit = 0, Confidence = 0.9989
Image 470: Predicted digit = 0, Confidence = 0.9999
Image 471: Predicted digit = 0, Confidence = 0.9754
Image 472: Predicted digit = 0, Confidence = 1.0000
Image 473: Predicted digit = 0, Confidence = 0.9990
Image 474: Predicted digit = 0, Confidence = 0.9956
Image 475: Predicted digit = 0, Confidence = 0.9885
Image 476: Predicted digit = 0, Confidence = 0.9999
Image 477: Predicted digit = 0, Confidence = 0.9929
Image 478: Predicted digit = 0, Confidence = 0.9520
Image 479: Predicted digit = 0, Confidence = 0.3466
Image 480: Predicted digit = 0, Confidence = 0.9601
Image 481: Predicted digit = 0, Confidence = 0.9999
Image 482: Predicted digit = 0, Confidence = 1.0000
Image 483: Predicted digit = 0, Confidence = 1.0000
Image 484: Predicted digit = 0, Confidence = 0.6004
Image 485: Predicted digit = 0, Confidence = 0.9924
Image 486: Predicted digit = 0, Confidence = 0.9981
Image 487: Predicted digit = 0, Confidence = 0.9998
Image 488: Predicted digit = 0, Confidence = 0.9985
Image 489: Predicted digit = 0, Confidence = 0.9664
Image 490: Predicted digit = 0, Confidence = 0.8207
Image 491: Predicted digit = 0, Confidence = 0.6536
Image 492: Predicted digit = 0, Confidence = 0.5850
Image 493: Predicted digit = 0, Confidence = 0.9980
Image 494: Predicted digit = 0, Confidence = 0.9255
Image 495: Predicted digit = 0, Confidence = 0.9995
Image 496: Predicted digit = 0, Confidence = 0.9491
Image 497: Predicted digit = 0, Confidence = 0.9992
Image 498: Predicted digit = 0, Confidence = 0.6567
Image 499: Predicted digit = 0, Confidence = 0.7115
Image 500: Predicted digit = 0, Confidence = 0.9985
Image 501: Predicted digit = 0, Confidence = 0.9991
Image 502: Predicted digit = 0, Confidence = 0.9999
Image 503: Predicted digit = 0, Confidence = 0.9992
Image 504: Predicted digit = 0, Confidence = 1.0000
Image 505: Predicted digit = 0, Confidence = 0.9854
Image 506: Predicted digit = 0, Confidence = 0.9996
Image 507: Predicted digit = 0, Confidence = 1.0000
Image 508: Predicted digit = 0, Confidence = 0.9918
Image 509: Predicted digit = 0, Confidence = 0.9992
Image 510: Predicted digit = 0, Confidence = 0.9967
Image 511: Predicted digit = 0, Confidence = 0.9997
Image 512: Predicted digit = 0, Confidence = 0.9890
Image 513: Predicted digit = 0, Confidence = 1.0000
Image 514: Predicted digit = 0, Confidence = 0.9999
Image 515: Predicted digit = 0, Confidence = 0.9952
Image 516: Predicted digit = 0, Confidence = 1.0000
Image 517: Predicted digit = 0, Confidence = 1.0000
Image 518: Predicted digit = 0, Confidence = 0.9651
Image 519: Predicted digit = 0, Confidence = 1.0000
Image 520: Predicted digit = 0, Confidence = 0.9784
Image 521: Predicted digit = 0, Confidence = 0.8793
Image 522: Predicted digit = 0, Confidence = 0.7659
Image 523: Predicted digit = 0, Confidence = 0.1802
Image 524: Predicted digit = 0, Confidence = 0.9988
Image 525: Predicted digit = 0, Confidence = 0.9997
Image 526: Predicted digit = 0, Confidence = 1.0000
Image 527: Predicted digit = 0, Confidence = 0.9890
Image 528: Predicted digit = 0, Confidence = 0.9999
Image 529: Predicted digit = 0, Confidence = 1.0000
Image 530: Predicted digit = 0, Confidence = 0.9999
